Annotation	key	cell_class	removal_reason	num_cells_postQC	top_dissectate_postQC	max_pct_dissectate_postQC	top_replicate_postQC	max_pct_replicate_postQC	Isocortex	OLF	HPF	CTXsp	STR	PAL	TH	HY	MB	P	MY	CB	FB_VS_grey	Mapped_Top_TopStruct	Mapped_Max_TopStruct	Mapped_MaxTopStruct_PCT	Mapped_Top_DeepCCF	Mapped_Max_DeepCCF	Mapped_Max_DeepCCF_PCT	Imputed_Top_TopStruct	Imputed_Top_DeepCCF	Imputed_Max_TopStruct	Imputed_Max_DeepCCF	NumBeadsConfMapped	Max_TopStruct	Max_DeepCCF	NT_binary
Inh_Onecut3_Wnt16	300-0-0-0-0-0-0-0-0-7-0-1-1-1-0	neuron		86	MB_M5_M5	43.02%	MB_M5_F010	16.28%																				MB	MRN|PAG	MB	MRN		MB	MRN	GABA
Inh_Onecut3_Twist2	300-0-0-0-0-0-0-0-0-7-0-1-1-1-1	neuron		20	MB_M4_M4B	35.00%	MB_M4_B_M013	25.00%																				HY|MB		HY			HY		GABA
Inh_Nkx2-2_Rab3b_1	300-0-0-0-0-0-0-0-0-7-1-0-0-0	neuron		453	MB_L6_L6	26.27%	MB_M5_F013	13.25%	0	0	0	0	0	0	0	2	36	9	0	0	0	MB|P	MB	0.765957446808511	RN|MRN	RN	0.555555555555556	MB	MRN	MB	MRN	47	MB	RN	GABA
Inh_Six3_Agtr2	300-0-0-0-0-0-0-0-0-7-1-0-0-1-0-0	neuron		142	MB_M6_M6	42.96%	MB_M6_M013	16.20%	0	0	0	0	0	0	1	6	86	3	0	0	0	MB	MB	0.895833333333333	RN|MRN|IC|PAG	RN	0.337209302325581	MB	MRN|RN	MB	MRN	96	MB	RN	GABA
Inh_Six3_Rab3b	300-0-0-0-0-0-0-0-0-7-1-0-0-1-0-1	neuron		49	MB_M6_M6	53.06%	MB_M6_F010	20.41%																				MB	MRN|RN	MB	MRN		MB	MRN	GABA
Inh_Otx1_Ppp1r3a	300-0-0-0-0-0-0-0-0-7-1-0-0-1-1	neuron		161	MB_M6_M6	32.30%	MB_L6_F010	11.18%	0	0	0	0	0	0	0	0	25	1	0	0	0	MB	MB	0.961538461538461	RN|MRN	RN	0.76	MB	MRN|RN	MB	MRN	26	MB	RN	GABA
Inh_Nkx2-2_Nxph2	300-0-0-0-0-0-0-0-0-7-1-0-1-0-0-0	neuron		49	MB_M6_M6	38.78%	MB_M6_F010	18.37%																				MB	MRN|RN	MB	MRN		MB	MRN	GLY
Inh_Nkx2-2_Npy_1	300-0-0-0-0-0-0-0-0-7-1-0-1-0-0-1	neuron		29	MB_M6_M6	37.93%	MB_M5_F013	17.24%																				MB	MRN	MB	MRN		MB	MRN	GABA
Inh_Nkx2-2_Npy_2	300-0-0-0-0-0-0-0-0-7-1-0-1-0-0-2	neuron		22	MB_M5_M5	27.27%	MB_M5_F013	22.73%																				MB	MRN	MB	MRN		MB	MRN	GABA
Inh_Nkx2-2_Tecrl_1	300-0-0-0-0-0-0-0-0-7-1-0-1-0-1-0	neuron		65	MB_L5_L5	26.15%	MB_L5_F011	10.77%																				MB	MRN	MB	MRN		MB	MRN	GABA
Inh_Nkx2-2_Tecrl_2	300-0-0-0-0-0-0-0-0-7-1-0-1-0-1-1	neuron	automatic	0																															none
Inh_Nkx2-2_Npy_3	300-0-0-0-0-0-0-0-0-7-1-0-1-1	neuron		79	MB_L6_L6	18.99%	MB_M6_F010	10.13%																				MB	MRN	MB	MRN		MB	MRN	GABA
Inh_Otx1_Dytn	300-0-0-0-0-0-0-0-0-7-1-1-0-0	neuron		235	MB_M5_M5	24.26%	TH_T5_F016	12.34%	0	0	0	0	0	0	0	0	46	0	0	0	0	MB	MB	1	MRN|RN|PAG	MRN	0.630434782608696	MB	MRN|PAG|RN	MB	MRN	46	MB	MRN	GABA
Inh_Otx1_Coch_1	300-0-0-0-0-0-0-0-0-7-1-1-0-1-0	neuron		60	MB_M6_M6	33.33%	MB_M5_F010	15.00%																				MB	MRN|PAG|RN	MB	MRN		MB	MRN	GABA
Inh_Otx1_Coch_2	300-0-0-0-0-0-0-0-0-7-1-1-0-1-1	neuron		30	MB_M5_M5	30.00%	MB_M5_M014	16.67%																				MB	MRN|PAG|RN	MB	MRN		MB	MRN	GLY
Inh_Otx1_Cd36_1	300-0-0-0-0-0-0-0-0-7-1-1-1-0	neuron		117	MB_M4_M4B	26.50%	MB_M4_A_F012	12.82%	0	0	0	0	0	0	0	0	17	2	0	0	0	MB	MB	0.894736842105263	PAG|MB|MRN|RN	PAG	0.470588235294118	MB	MRN|PAG	MB	MRN	19	MB	PAG	GABA
Inh_Otx1_Cd36_2	300-0-0-0-0-0-0-0-0-7-1-1-1-1-0	neuron		52	MB_M4_M4B	50.00%	MB_M4_B_F012	15.38%																				MB	MRN|RN	MB	MRN		MB	MRN	GLY
Inh_Otx1_Cd36_3	300-0-0-0-0-0-0-0-0-7-1-1-1-1-1	neuron		36	MB_M4_M4B	52.78%	MB_M6_M012	16.67%																				MB	MRN|PAG	MB	MRN		MB	MRN	GABA
Ex_Lmx1a_Dnaaf6b_1	300-0-0-0-0-0-0-0-0-8-0-0-0-0-0-0	neuron		665	HY_HY_HY4	56.09%	HY_HY_F022	22.56%	1	7	0	3	1	2	2	82	44	5	0	1	2	HY|MB	HY	0.546666666666667	PMv|HY|PVp|VMH|LHA|MBO|MPN|ARH|PH|MPO	PMv	0.353658536585366	HY|MB	HY|LHA|MBO|PMv|VMH	HY	HY	150	HY	PMv	VGLUT2
Ex_Lmx1a_Dnaaf6b_2	300-0-0-0-0-0-0-0-0-8-0-0-0-0-0-1	neuron		400	HY_HY_HY4	51.75%	HY_HY_F021	25.25%	1	6	0	2	8	7	2	55	48	2	0	1	1	HY|MB|STR|PAL	HY	0.413533834586466	PMv|PVp|VMH|LHA|ARH|HY|PVi|PMd	PMv	0.181818181818182	HY|MB	HY|LHA|PMv	HY	HY	133	HY	PMv	VGLUT2
Ex_Lmx1a_Pgr15l_1	300-0-0-0-0-0-0-0-0-8-0-0-0-0-1-0-0	neuron		113	HY_HY_HY4	59.29%	HY_HY_F022	30.09%	1	2	0	0	1	0	0	10	3	0	0	0	0	HY|MB|OLF	HY	0.588235294117647	HY|LHA|PSTN|PMv|MBO|ADP	HY	0.2	HY		HY		17	HY	HY	VGLUT2
Ex_Lmx1a_Jhy	300-0-0-0-0-0-0-0-0-8-0-0-0-0-1-0-1	neuron		60	HY_HY_HY4	45.00%	HY_HY_F022	20.00%																				HY|MB	HY	HY	HY		HY	HY	VGLUT2
Ex_Lmx1a_Pgr15l_2	300-0-0-0-0-0-0-0-0-8-0-0-0-0-1-1-0	neuron		80	HY_HY_HY4	61.25%	HY_HY_F021	33.75%																				HY	LHA|HY|PMv	HY	LHA		HY	LHA	VGLUT2
Ex_Lmx1a_Pgr15l_3	300-0-0-0-0-0-0-0-0-8-0-0-0-0-1-1-1	neuron		31	HY_HY_HY4	58.06%	HY_HY_F022	38.71%																				HY|MB	HY	HY	HY		HY	HY	VGLUT2
Ex_Lmx1a_Ngfr	300-0-0-0-0-0-0-0-0-8-0-0-0-1-0-0	neuron		97	MB_L7_L7	41.24%	MB_L7_F012	39.18%																				MB	MB	MB	MB		MB	MB	VGLUT2
Ex_Lmx1a_Cckar_1	300-0-0-0-0-0-0-0-0-8-0-0-0-1-0-1	neuron		102	HY_HY_HY4	47.06%	HY_HY_F019	22.55%	2	2	0	0	3	0	2	35	3	0	0	0	0	HY|STR|MB	HY	0.74468085106383	HY|LHA|PH|TU|VMH|MPN|PMv|PVi|MBO	HY	0.228571428571429	HY|MB	HY|LHA|MBO	HY	HY	47	HY	HY	VGLUT2
Ex_Lmx1a_Cckar_2	300-0-0-0-0-0-0-0-0-8-0-0-0-1-1-0	neuron		122	HY_HY_HY4	79.51%	HY_HY_F021	47.54%	10	32	2	11	9	24	17	53	5	0	0	0	0	HY|OLF|PAL|TH|CTXsp|Isocortex	HY	0.325153374233129	LHA|MBO|HY|PMv|TU|VMH|PH	LHA	0.264150943396226	HY	HY|LHA|PMv|MBO|VMH	HY	HY	163	HY	LHA	VGLUT2
Ex_Lmx1a_Cckar_3	300-0-0-0-0-0-0-0-0-8-0-0-0-1-1-1	neuron		58	HY_HY_HY4	82.76%	HY_HY_F021	44.83%																				HY	HY|LHA|PMv|VMH|MBO|PH	HY	HY		HY	HY	VGLUT2
Ex_Lmx1a_Itih5_1	300-0-0-0-0-0-0-0-0-8-0-0-1-0	neuron		288	HY_HY_HY1	32.99%	HY_HY_F022	26.39%	1	6	0	0	0	1	3	39	25	0	0	0	0	HY|MB	HY	0.52	PSTN|LHA|PH|PST|PMd	PSTN	0.58974358974359	HY	LHA	HY	LHA	75	HY	PSTN	VGLUT2
Ex_Lmx1a_Itih5_2	300-0-0-0-0-0-0-0-0-8-0-0-1-1-0-0	neuron		66	HY_HY_HY1	37.88%	HY_HY_F022	27.27%																				HY|MB	LHA	HY	LHA		HY	LHA	VGLUT2
Ex_Lmx1a_Pkd1l1	300-0-0-0-0-0-0-0-0-8-0-0-1-1-0-1	neuron		44	HY_HY_HY1	34.09%	HY_HY_F022	31.82%																				HY|MB	LHA	HY	LHA		HY	LHA	VGLUT2
Ex_Lmx1a_Crh_Barhl1	300-0-0-0-0-0-0-0-0-8-0-0-1-1-1	neuron		51	HY_HY_HY4	47.06%	HY_HY_F021	29.41%																				HY|MB	LHA|PSTN	HY	LHA		HY	LHA	VGLUT2
Ex_Lmx1a_Qrfprl_1	300-0-0-0-0-0-0-0-0-8-0-1-0-0-0-0-0	neuron		102	HY_HY_HY1	45.10%	HY_HY_F022	23.53%	0	0	0	0	0	4	1	8	2	0	0	0	0	HY|PAL|MB	HY	0.533333333333333	AVPV|AVP|PH|MPO|LPO|MPN	AVPV	0.25	HY|MB		HY		15	HY	AVPV	VGLUT2
Ex_Lmx1a_Qrfprl_2	300-0-0-0-0-0-0-0-0-8-0-1-0-0-0-0-1	neuron		47	HY_HY_HY1	65.96%	HY_HY_F022	29.79%																				HY|MB		HY			HY		VGLUT2
Ex_Lmx1a_Dkkl1	300-0-0-0-0-0-0-0-0-8-0-1-0-0-0-1	neuron		46	HY_HY_HY1	36.96%	HY_HY_F022	28.26%																				HY|MB		HY			HY		VGLUT2
Ex_Lmx1a_Lepr	300-0-0-0-0-0-0-0-0-8-0-1-0-0-1	neuron		120	HY_HY_HY4	61.67%	HY_HY_F021	39.17%	7	36	1	7	7	8	17	56	4	0	0	0	0	HY|OLF|TH|PAL|STR	HY	0.391608391608392	HY|PH|ZI|MBO|VMH|LHA|AHN|MPO|PMv|LPO|SFO|TU	HY	0.160714285714286	HY|MB		HY		143	HY	HY	VGLUT2
Ex_Lmx1a_Irx6_1	300-0-0-0-0-0-0-0-0-8-0-1-0-1-0	neuron		54	MB_M6_M6	25.93%	HY_HY_F022	18.52%																				MB	MB|MRN|PAG	MB	MB		MB	MB	VGLUT2
Ex_Lmx1a_Irx6_2	300-0-0-0-0-0-0-0-0-8-0-1-0-1-1	neuron		45	MB_M7_M7	64.44%	MB_M7_F013	37.78%																				HY|MB|OLF		HY			HY		VGLUT2
Ex_Lmx1a_Irx6_3	300-0-0-0-0-0-0-0-0-8-0-1-0-1-2	neuron		39	HY_HY_HY1	53.85%	HY_HY_F022	25.64%																				HY|MB		HY			HY		VGLUT2
Ex_Lmx1a_Mab21l3	300-0-0-0-0-0-0-0-0-8-0-1-1-0	neuron		67	HY_HY_HY1	52.24%	HY_HY_F021	23.88%																				HY		HY			HY		VGLUT2
Ex_Lmx1a_Tgfbr2	300-0-0-0-0-0-0-0-0-8-0-1-1-1	neuron		62	HY_HY_HY1	48.39%	HY_HY_F021	19.35%																				HY|MB|OLF		HY			HY		VGLUT2
Ex_Lmx1a_Wnt11	300-0-0-0-0-0-0-0-0-8-1-0-0-0-0	neuron		161	MB_M7_M7	34.16%	MB_M7_F013	18.01%	0	2	0	0	0	1	0	16	3	0	0	0	0	HY|MB	HY	0.727272727272727	MBO|PH	MBO	0.5625	HY|MB	MBO|HY	HY	MBO	22	HY	MBO	VGLUT2_VGLUT3
Ex_Lmx1a_Grpr	300-0-0-0-0-0-0-0-0-8-1-0-0-0-1	neuron		66	HY_HY_HY4	34.85%	HY_HY_F022	22.73%																				HY|MB	MBO	HY	MBO		HY	MBO	VGLUT2
Ex_Lmx1a_Gngt2	300-0-0-0-0-0-0-0-0-8-1-0-0-1	neuron		227	HY_HY_HY4	35.24%	HY_HY_F022	19.38%	1	0	0	0	0	1	0	28	5	0	0	0	0	HY|MB	HY	0.8	PH|MBO|HY	PH	0.535714285714286	HY|MB		HY		35	HY	PH	VGLUT2
Ex_Lmx1a_Npffr2_1	300-0-0-0-0-0-0-0-0-8-1-0-1-0-0-0-0	neuron		72	HY_HY_HY1	84.72%	HY_HY_F022	30.56%																				HY|OLF		HY			HY		VGLUT2
Ex_Lmx1a_Npffr2_2	300-0-0-0-0-0-0-0-0-8-1-0-1-0-0-0-1	neuron		60	MB_M6_M6	73.33%	MB_M6_F012	46.67%																				HY|MB|OLF	PH|MBO|VMH	HY	PH		HY	PH	VGLUT2
Ex_Lmx1a_Npffr2_3	300-0-0-0-0-0-0-0-0-8-1-0-1-0-0-1-0	neuron		47	HY_HY_HY1	63.83%	HY_HY_F022	25.53%																				HY	PH	HY	PH		HY	PH	VGLUT2
Ex_Lmx1a_Npffr2_4	300-0-0-0-0-0-0-0-0-8-1-0-1-0-0-1-1	neuron		37	HY_HY_HY1	67.57%	HY_HY_F021	29.73%																				HY|MB		HY			HY		VGLUT2
Ex_Lmx1a_Npffr2_5	300-0-0-0-0-0-0-0-0-8-1-0-1-0-1	neuron		48	HY_HY_HY1	62.50%	HY_HY_F022	31.25%																				HY|OLF		HY			HY		VGLUT2_VGLUT3
Ex_Lmx1a_Bdnf_1	300-0-0-0-0-0-0-0-0-8-1-0-1-1-0	neuron		124	HY_HY_HY1	50.81%	HY_HY_F022	20.16%	0	1	0	0	0	0	0	5	0	0	0	0	0	HY|OLF	HY	0.833333333333333	PH|HY	PH	0.6	OLF		OLF		6	HY	PH	VGLUT2
Ex_Lmx1a_Bdnf_2	300-0-0-0-0-0-0-0-0-8-1-0-1-1-1	neuron		41	MB_M6_M6	39.02%	MB_M6_F012	19.51%																				HY|OLF	PH	HY	PH		HY	PH	VGLUT2
Ex_Lmx1a_Bdnf_3	300-0-0-0-0-0-0-0-0-8-1-1-0	neuron		341	HY_HY_HY4	33.72%	HY_HY_F022	24.93%	0	1	0	0	1	1	1	22	3	0	0	0	0	HY|MB	HY	0.758620689655172	MBO|PMd|LHA|HY|MPO	MBO	0.636363636363636	HY|MB|OLF		HY		29	HY	MBO	VGLUT2
Ex_Lmx1a_Bdnf_4	300-0-0-0-0-0-0-0-0-8-1-1-1-0	neuron		79	HY_HY_HY4	35.44%	HY_HY_F019	22.78%																				HY|MB	HY|LHA|MBO	HY	HY		HY	HY	VGLUT2
	300-0-0-0-0-0-0-0-0-8-1-1-1-1	neuron	manual	0																															none
Ex_Nkx2-4_Grpr_1	300-0-0-0-0-0-0-0-0-9-0-0-0-0-0-0-0	neuron		144	MB_M7_M7	26.39%	HY_HY_F022	35.42%	0	3	0	0	1	6	4	81	1	0	0	0	2	HY|PAL	HY	0.826530612244898	HY|LHA|MPO|MPN|PH|AHN|PMd|AVPV|PeF|PVpo|ZI|VMH|PVi	HY	0.209876543209877	HY	HY|LHA	HY	HY	98	HY	HY	VGLUT2
Ex_Nkx2-4_Grpr_2	300-0-0-0-0-0-0-0-0-9-0-0-0-0-0-0-1	neuron		97	HY_HY_HY2	23.71%	HY_HY_F022	29.90%																				HY	HY|LHA|MPN|MPO|PH|VMH	HY	HY		HY	HY	VGLUT2
Ex_Nkx2-4_Grpr_3	300-0-0-0-0-0-0-0-0-9-0-0-0-0-0-1-0-0	neuron		119	HY_HY_HY4	68.07%	HY_HY_F021	37.82%	0	2	0	0	0	2	1	32	1	0	0	0	0	HY|OLF	HY	0.842105263157895	LHA|PH|HY|DMH|MBO|PMv|TU|PVHd	LHA	0.3125	HY	HY|PH	HY	HY	38	HY	LHA	VGLUT2
Ex_Nkx2-4_Grpr_4	300-0-0-0-0-0-0-0-0-9-0-0-0-0-0-1-0-1	neuron	automatic	0																															none
Ex_Nkx2-4_Grpr_5	300-0-0-0-0-0-0-0-0-9-0-0-0-0-0-1-1	neuron		82	HY_HY_HY4	80.49%	HY_HY_F021	41.46%																				HY	PH|HY|LHA|MPN|MPO|VMH	HY	PH		HY	PH	VGLUT2
Ex_Nkx2-4_Calcr_1	300-0-0-0-0-0-0-0-0-9-0-0-0-0-1-0-0-0	neuron		84	HY_HY_HY4	41.67%	HY_HY_F021	32.14%																				HY|OLF		HY			HY		VGLUT2
Ex_Nkx2-4_Calcr_2	300-0-0-0-0-0-0-0-0-9-0-0-0-0-1-0-0-1	neuron		50	HY_HY_HY1	36.00%	HY_HY_F022	36.00%																				HY	HY|LHA	HY	HY		HY	HY	VGLUT2
Ex_Nkx2-4_Calcr_3	300-0-0-0-0-0-0-0-0-9-0-0-0-0-1-0-1	neuron		62	HY_HY_HY1	37.10%	HY_HY_F022	33.87%																				HY	HY|LHA	HY	HY		HY	HY	VGLUT2
Ex_Nkx2-4_Calcr_4	300-0-0-0-0-0-0-0-0-9-0-0-0-0-1-1	neuron		74	HY_HY_HY4	68.92%	HY_HY_F021	40.54%																											VGLUT2
Ex_Nkx2-4_Calcr_5	300-0-0-0-0-0-0-0-0-9-0-0-0-0-1-2	neuron		51	HY_HY_HY4	52.94%	HY_HY_F021	37.25%																				HY	HY	HY	HY		HY	HY	VGLUT2
Ex_Nkx2-4_Calcr_6	300-0-0-0-0-0-0-0-0-9-0-0-0-1-0-0	neuron		89	HY_HY_HY2	28.09%	HY_HY_F022	34.83%																				HY		HY			HY		VGLUT2
Ex_Nkx2-4_Calcr_7	300-0-0-0-0-0-0-0-0-9-0-0-0-1-0-1	neuron		22	HY_HY_HY1	45.45%	HY_HY_F022	59.09%																				HY|MB		HY			HY		VGLUT2
Ex_Nkx2-4_Calcr_8	300-0-0-0-0-0-0-0-0-9-0-0-0-1-1	neuron		44	HY_HY_HY2	31.82%	HY_HY_F022	43.18%																				HY	HY|LHA	HY	HY		HY	HY	VGLUT2
Ex_Nkx2-4_Calcr_9	300-0-0-0-0-0-0-0-0-9-0-0-1-0	neuron		145	HY_HY_HY4	35.17%	HY_HY_F022	22.07%	0	1	0	0	0	5	4	35	3	0	0	0	0	HY|PAL|TH	HY	0.729166666666667	LHA|DMH|HY|MPO|PH|PMv|VMH|ZI|MPN|PVHd|SBPV|AVPV	LHA	0.171428571428571	HY	HY|LHA|MPN|MPO|PH|VMH	HY	HY	48	HY	LHA	VGLUT2
Ex_Nkx2-4_Calcr_10	300-0-0-0-0-0-0-0-0-9-0-0-1-1	neuron		145	HY_HY_HY4	40.69%	HY_HY_F021	25.52%	0	0	0	0	0	0	0	9	0	0	0	0	0	HY	HY	1	MPO|MPN|PH|PVpo|VMH	MPO	0.444444444444444	HY	PH|HY	HY	PH	9	HY	MPO	VGLUT2
Ex_Nkx2-4_Calcr_11	300-0-0-0-0-0-0-0-0-9-0-1-0-0-0	neuron		152	HY_HY_HY4	46.71%	HY_HY_F021	27.63%	2	3	0	1	1	4	0	23	20	2	0	0	0	HY|MB|PAL|OLF	HY	0.410714285714286	PH|DMH|PVi|ARH|AVPV|HY|LPO	PH	0.260869565217391	HY|OLF|PAL		HY		56	HY	PH	VGLUT2
Ex_Nkx2-4_Galnt15_1	300-0-0-0-0-0-0-0-0-9-0-1-0-0-1-0	neuron		77	HY_HY_HY4	36.36%	MB_M7_F013	23.38%																				HY|MB		HY			HY		VGLUT2
Ex_Nkx2-4_Galnt15_2	300-0-0-0-0-0-0-0-0-9-0-1-0-0-1-1	neuron		48	HY_HY_HY4	41.67%	HY_HY_F022	25.00%																				HY|MB|OLF		HY			HY		VGLUT2
CholEx_Nkx2-4_Hmcn1_1	300-0-0-0-0-0-0-0-0-9-0-1-0-1-0-0	neuron		77	MB_M7_M7	41.56%	MB_M7_F013	22.08%																				HY|OLF		HY			HY		VGLUT2_CHOL
Ex_Nxph4_Dnah11	300-0-0-0-0-0-0-0-0-9-0-1-0-1-0-1	neuron		36	HY_HY_HY4	91.67%	HY_HY_F021	77.78%																				MB		MB			MB		VGLUT2
CholEx_Nkx2-4_Hmcn1_2	300-0-0-0-0-0-0-0-0-9-0-1-0-1-1	neuron		69	MB_M7_M7	42.03%	MB_M7_F012	18.84%																				HY|MB		HY			HY		VGLUT2_CHOL
Ex_Nkx2-4_Svep1_1	300-0-0-0-0-0-0-0-0-9-0-1-1-0-0	neuron		82	HY_HY_HY2	36.59%	HY_HY_F022	35.37%																				HY	HY|DMH|PVHd	HY	HY		HY	HY	VGLUT2
Ex_Nkx2-4_Svep1_2	300-0-0-0-0-0-0-0-0-9-0-1-1-0-1	neuron		66	HY_HY_HY2	37.88%	HY_HY_F022	31.82%																				HY	HY|DMH|PVHd	HY	HY		HY	HY	VGLUT2
Ex_Sim1_Sim2	300-0-0-0-0-0-0-0-0-9-0-1-1-1	neuron		106	HY_HY_HY2	29.25%	HY_HY_F021	30.19%	1	1	0	2	2	5	3	56	1	0	0	0	1	HY|PAL	HY	0.777777777777778	HY|PH|DMH|PVHd|MPN|LHA|PVH|PVpo|PVi|AVPV|MPO	HY	0.178571428571429	HY	HY|DMH|PVHd	HY	HY	72	HY	HY	VGLUT2
Ex_Sim1_Abcc9_1	300-0-0-0-0-0-0-0-0-9-1-0-0-0-0-0-0	neuron		85	HY_HY_HY2	61.18%	HY_HY_F022	32.94%																				HY		HY			HY		VGLUT2
Ex_Sim1_Abcc9_2	300-0-0-0-0-0-0-0-0-9-1-0-0-0-0-0-1	neuron		52	HY_HY_HY2	57.69%	HY_HY_F022	32.69%																				HY|OLF		HY			HY		VGLUT2
Ex_Sim1_Abcc9_3	300-0-0-0-0-0-0-0-0-9-1-0-0-0-0-1	neuron		51	HY_HY_HY2	64.71%	HY_HY_F022	35.29%																				HY	HY|LHA	HY	HY		HY	HY	VGLUT2
Ex_Sim1_Ghrh_1	300-0-0-0-0-0-0-0-0-9-1-0-0-0-1-0-0	neuron		54	HY_HY_HY2	77.78%	HY_HY_F022	31.48%																				HY		HY			HY		VGLUT2
Ex_Sim1_Ghrh_2	300-0-0-0-0-0-0-0-0-9-1-0-0-0-1-0-1	neuron		49	HY_HY_HY2	59.18%	TH_T7_M018	32.65%																				HY		HY			HY		VGLUT2
Ex_Sim1_Ghrh_3	300-0-0-0-0-0-0-0-0-9-1-0-0-0-1-1	neuron		53	TH_T7_T7	50.94%	TH_T7_M018	43.40%																				HY		HY			HY		VGLUT2
Ex_Sim1_Nkx2-2_Asb4_1	300-0-0-0-0-0-0-0-0-9-1-0-0-1-0-0-0-0	neuron		52	HY_HY_HY3	50.00%	HY_HY_F022	34.62%																				HY|MB		HY			HY		VGLUT2
Ex_Sim1_Nkx2-2_Asb4_2	300-0-0-0-0-0-0-0-0-9-1-0-0-1-0-0-0-1	neuron		43	HY_HY_HY2	53.49%	HY_HY_F022	46.51%																				HY|MB|OLF		HY			HY		VGLUT2
Ex_Sim1_Nkx2-2_Asb4_3	300-0-0-0-0-0-0-0-0-9-1-0-0-1-0-0-1	neuron		28	HY_HY_HY2	64.29%	HY_HY_F022	50.00%																				HY	HY	HY	HY		HY	HY	VGLUT2
Ex_Sim1_Nkx2-2_Asb4_4	300-0-0-0-0-0-0-0-0-9-1-0-0-1-0-1	neuron		69	HY_HY_HY2	42.03%	HY_HY_F022	31.88%																				HY	HY|LHA	HY	HY		HY	HY	VGLUT2
Ex_Sim1_Nkx2-2_Asb4_5	300-0-0-0-0-0-0-0-0-9-1-0-0-1-1-0	neuron		49	HY_HY_HY3	48.98%	HY_HY_F022	36.73%																				HY	HY	HY	HY		HY	HY	VGLUT2
Ex_Sim1_Nkx2-2_Asb4_6	300-0-0-0-0-0-0-0-0-9-1-0-0-1-1-1	neuron		39	HY_HY_HY3	48.72%	HY_HY_F022	48.72%																				HY	HY|LHA|MPO	HY	HY		HY	HY	VGLUT2
Ex_Nkx2-1_Otp_1	300-0-0-0-0-0-0-0-0-9-1-0-1-0-0-0	neuron		72	MB_M5_M5	37.50%	MB_M5_F010	16.67%																				MB	PAG	MB	PAG		MB	PAG	VGLUT2
Ex_Nkx2-1_Otp_2	300-0-0-0-0-0-0-0-0-9-1-0-1-0-0-1	neuron		34	MB_M5_M5	35.29%	MB_M4_B_F012	17.65%																				MB		MB			MB		VGLUT2
Ex_Nkx2-1_Otp_3	300-0-0-0-0-0-0-0-0-9-1-0-1-0-1-0	neuron		56	TH_T5_T5	33.93%	TH_T5_F016	28.57%																				MY|P		MY			MY		VGLUT2
Ex_Sim1_Th_1	300-0-0-0-0-0-0-0-0-9-1-0-1-0-1-1	neuron		48	TH_T5_T5	39.58%	TH_T5_F016	20.83%																				P		P			P		VGLUT2
Ex_Sim1_Th_2	300-0-0-0-0-0-0-0-0-9-1-0-1-1	neuron		92	TH_T5_T5	26.09%	TH_T5_F016	15.22%																				HY		HY			HY		VGLUT2
Ex_Sim1_Crh_1	300-0-0-0-0-0-0-0-0-9-1-1-0-0-0-0-0	neuron		89	HY_HY_HY2	46.07%	HY_HY_F022	33.71%																				HY|MB|OLF		HY			HY		VGLUT2
Ex_Sim1_Crh_2	300-0-0-0-0-0-0-0-0-9-1-1-0-0-0-0-1	neuron		46	HY_HY_HY3	54.35%	HY_HY_M022	34.78%																				HY|MB|OLF	HY	HY	HY		HY	HY	VGLUT2
Ex_Sim1_Crh_3	300-0-0-0-0-0-0-0-0-9-1-1-0-0-0-1	neuron		44	HY_HY_HY2	47.73%	HY_HY_F022	29.55%																				HY|MB|OLF		HY			HY		VGLUT2
Ex_Sim1_Crh_4	300-0-0-0-0-0-0-0-0-9-1-1-0-0-1-0	neuron		66	HY_HY_HY3	57.58%	HY_HY_F022	31.82%																				HY|OLF		HY			HY		VGLUT2
Ex_Sim1_Crh_5	300-0-0-0-0-0-0-0-0-9-1-1-0-0-1-1	neuron		41	HY_HY_HY2	56.10%	HY_HY_F019	36.59%																				HY		HY			HY		VGLUT2
Ex_Sim1_Aox3_1	300-0-0-0-0-0-0-0-0-9-1-1-0-1-0-0	neuron		69	HY_HY_HY3	44.93%	HY_HY_F022	30.43%																				HY|MB		HY			HY		VGLUT2
Ex_Sim1_Aox3_2	300-0-0-0-0-0-0-0-0-9-1-1-0-1-0-1	neuron		35	HY_HY_HY3	62.86%	HY_HY_F022	40.00%																				HY		HY			HY		VGLUT2
Ex_Sim1_Aox3_3	300-0-0-0-0-0-0-0-0-9-1-1-0-1-1	neuron		51	HY_HY_HY2	49.02%	HY_HY_F019	25.49%																											VGLUT2
Ex_Nkx2-2_Grp_1	300-0-0-0-0-0-0-0-0-9-1-1-1-0	neuron		102	HY_HY_HY2	42.16%	HY_HY_F022	22.55%	0	5	0	0	1	3	4	12	3	0	0	0	0	HY|OLF|TH|PAL	HY	0.428571428571429	HY|PVHd|DMH|PVa|ZI	HY	0.333333333333333					28	HY	HY	VGLUT2
Ex_Nkx2-2_Grp_2	300-0-0-0-0-0-0-0-0-9-1-1-1-1	neuron		59	HY_HY_HY2	61.02%	HY_HY_F022	35.59%																				HY		HY			HY		VGLUT2
REMOVE	300-0-0-0-0-0-0-0-1-0	NOMARKERS	manual	0																															none
Ex_Sim1_Ppp1r1c_1	300-0-0-0-0-0-0-0-1-1-0-0-0-0-0-0-0-0	neuron		83	AMY_AMY_AMY	38.55%	AMY_AMY_M022	30.12%																				HY|PAL		HY			HY		VGLUT2
